LANGUAGE,TWEET,CREATED_AT,FAVORITE_COUNT
en,"I guess the #metoo movement, doesn’t apply to all victims in NJ. https://t.co/9s0nDqVuDo",2022-10-28T10:57:07.000Z,44
en,"Where the #MeToo movement stands, 5 years after Weinstein allegations came to light https://t.co/DjqqQ4UrMu",2022-10-28T15:34:24.000Z,0
en,"On today's podcast, we take a moment to look back. It is easy sometimes to feel that ""nothing"" has changed because there is still so much work to do. We hope that today, we can acknowledge that many things are true at the same time with the #metoo movement.",2022-10-28T13:19:47.000Z,7
en,"@secularhitchens @LBC Strange how those flower power folk gave birth to the greed of liberal Wall Steet, the perverts that caused women to cry #MeToo, the invasion of Iraq, looking for mythical weapons of mass destruction and abandoning blazing oil wells while weeping about global warming https://t.co/TDEBekqShT",2022-10-28T15:33:13.000Z,2
en,"🎃HAPPY HALLOWEEN EVERYONE🎃

""KELLCEY"" and ""(His)Story of Women"" are available worldwide on Amazon #MeToo #womenempowerment #stopviolenceagainstwomen https://t.co/j0CPbabNLj",2022-10-28T14:05:22.000Z,56
en,"Five years after #MeToo went viral, what lessons have we learned about #gender based violence? @arts_tmu prof. @tracey_raney wrote a piece for @ConversationCA discussing how violence and harassment have escalated in the #political sphere. To learn more: https://t.co/arl2UsKYQx",2022-10-28T15:30:00.000Z,1
en,"If you follow any economists on here, in the past week you've probably seen a boiling over of anger. @jenniferagerson talked to the women who are collecting and amplifying the field's #MeToo stories https://t.co/qmhRNL4oTm",2022-10-28T14:39:45.000Z,17
en,"🎃HAPPY HALLOWEEN EVERYONE🎃

""KELLCEY"" and ""(His)Story of Women"" are available worldwide on Amazon #MeToo #womenempowerment #stopviolenceagainstwomen https://t.co/j0CPbabNLj",2022-10-28T14:05:22.000Z,56
en,"Join us on November 10, 2022 from  5:00-7:30pm @UTM Instructional Centre as we feature #ToufahJallow The Woman Who Inspired an African #MeToo Movement. Come learn more about the MSc. in #SustainabilityManagement 

Register online: https://t.co/dnT0Rveamr https://t.co/DAMa5pgnx9",2022-10-27T15:19:59.000Z,14
en,"@OddtailTiger @MonicaLewinsky I think if the story came out today, it would be seen much more in the light of #metoo and the power dynamic between an adult but very young intern and literally the most powerful person on the planet. I don't think that aspect was very prominent originally.",2022-10-28T15:21:46.000Z,240
en,"Tom D’Amore tells @ThePortlandTrib, “When this many women come forward to the police and DA's Office saying they have been sexually abused, it is hard to believe that there is not sufficient evidence to even have a trial.""  https://t.co/S2tTIKOQJx. #BelieveWomen #MeToo https://t.co/nB5RxIJMNp",2022-10-28T15:20:59.000Z,0
en,"@austenite_m @masterpiecepbs @RedPlanetTV They want to justify the behavior of the toxic employer toward Charlotte. Then risking her ruination and firing her in that whole #MeToo story in Sanditon season 2. 

@Sanditon https://t.co/NWo5AP9utu",2022-10-27T16:11:29.000Z,8
